"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify error message when username is blank","221","Login fails with blank username only","","Wed Jul 23 14:49:06 GMT 2025","broken","Wed Jul 23 14:49:06 GMT 2025","","com.swaglabs.tests.LoginTest","com.swaglabs.tests.LoginTest","loginWithBlankUsername"
"Verify form validation when last name is missing","179","Blank last name should trigger error","","Wed Jul 23 14:49:05 GMT 2025","broken","Wed Jul 23 14:49:05 GMT 2025","","com.swaglabs.tests.CheckoutTest","com.swaglabs.tests.CheckoutTest","checkoutWithoutLastName"
"Ensure that adding a product updates the cart and the product is listed in the cart page","6083","Add product to cart and verify cart count","","Wed Jul 23 14:48:59 GMT 2025","broken","Wed Jul 23 14:49:05 GMT 2025","","com.swaglabs.tests.CartTest","com.swaglabs.tests.CartTest","addProductToCartTest"
"Verify that a logged-in user can logout and is redirected to login page","156","Logout from application returns user to login screen","","Wed Jul 23 14:49:06 GMT 2025","broken","Wed Jul 23 14:49:07 GMT 2025","","com.swaglabs.tests.LoginTest","com.swaglabs.tests.LoginTest","logoutTest"
"Verify error message when password is blank","177","Login fails with blank password only","","Wed Jul 23 14:49:07 GMT 2025","broken","Wed Jul 23 14:49:07 GMT 2025","","com.swaglabs.tests.LoginTest","com.swaglabs.tests.LoginTest","loginWithBlankPassword"
"Verify that a user can add an item, fill out checkout info, and place the order","158","Successful checkout flow with valid details","","Wed Jul 23 14:49:06 GMT 2025","broken","Wed Jul 23 14:49:06 GMT 2025","","com.swaglabs.tests.CheckoutTest","com.swaglabs.tests.CheckoutTest","successfulCheckoutTest"
"Ensure that removing a product updates the cart immediately","172","Remove product from cart and verify it disappears","","Wed Jul 23 14:49:05 GMT 2025","broken","Wed Jul 23 14:49:05 GMT 2025","","com.swaglabs.tests.CartTest","com.swaglabs.tests.CartTest","removeProductFromCartTest"
"Even if checkout is allowed with an empty cart, the summary page should show no items","309","Verify empty cart leads to empty checkout summary","","Wed Jul 23 14:49:05 GMT 2025","broken","Wed Jul 23 14:49:05 GMT 2025","","com.swaglabs.tests.CartTest","com.swaglabs.tests.CartTest","checkoutWithEmptyCartShowsNoItems"
"Verify validation when no data is entered in the form","162","All blank fields should trigger error","","Wed Jul 23 14:49:05 GMT 2025","broken","Wed Jul 23 14:49:06 GMT 2025","","com.swaglabs.tests.CheckoutTest","com.swaglabs.tests.CheckoutTest","checkoutWithAllFieldsBlank"
"Verify that a user can log in with valid username and password","158","Successful login with valid credentials","","Wed Jul 23 14:49:07 GMT 2025","broken","Wed Jul 23 14:49:07 GMT 2025","","com.swaglabs.tests.LoginTest","com.swaglabs.tests.LoginTest","validLoginTest"
"Verify form validation when first name is missing","160","Blank first name should trigger error","","Wed Jul 23 14:49:06 GMT 2025","broken","Wed Jul 23 14:49:06 GMT 2025","","com.swaglabs.tests.CheckoutTest","com.swaglabs.tests.CheckoutTest","checkoutWithoutFirstName"
"Verify that an error message is shown for invalid login","156","Login fails with invalid credentials","","Wed Jul 23 14:49:07 GMT 2025","broken","Wed Jul 23 14:49:07 GMT 2025","","com.swaglabs.tests.LoginTest","com.swaglabs.tests.LoginTest","invalidLoginTest"
"Verify error message when both username and password are blank","157","Login fails with blank username and password","","Wed Jul 23 14:49:07 GMT 2025","broken","Wed Jul 23 14:49:07 GMT 2025","","com.swaglabs.tests.LoginTest","com.swaglabs.tests.LoginTest","loginWithBlankCredentials"
"Verify form validation when postal code is missing","156","Blank postal code should trigger error","","Wed Jul 23 14:49:06 GMT 2025","broken","Wed Jul 23 14:49:06 GMT 2025","","com.swaglabs.tests.CheckoutTest","com.swaglabs.tests.CheckoutTest","checkoutWithoutPostalCode"
